StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,Year,Month
TAMILNADU,CHENGALPATTU,"0   ",NA,"ANIMAL HUSBANDRY",Animal,"Bovine(Cow,Buffalo)",Credit,"Asked about cattle loan availability information","கேள்வி:கால்நடைகளுக்கான கடன் பெறுவது தொடர்பாக பதில்:தேசியமயமாக்கப்பட்ட வங்கியை தொடர்பு கொள்ளவும் மற்றும் கிசான் கிரெடிட் கார்டில் இரண்டு லட்சம் வரை கடன் பெற இயலும்.",2024-10-07T19:47:27.417,2024,10
TAMILNADU,CHENGALPATTU,"0   ",NA,AGRICULTURE,Others,Others,"Training and Exposure Visits","BLANK CALL 	","விவசாயம் தொடர்பான தகவல்களுக்கு காலை 6:00 மணி முதல் இரவு 10 மணி வரை கிசான் அழைப்பு மையத்தை தொடர்பு கொள்ளவும் . (இலவச தொடர்பு எண் : 1800 180 1551)",2024-10-07T20:15:15.847,2024,10
TAMILNADU,CHENGALPATTU,"0   ",NA,AGRICULTURE,Cereals,"Paddy (Dhan)",Varieties,"Asked about time of transplanting in paddy ( medium duration )","கேள்வி : நெல் நெல் மத்தியகால ரகத்தின் நடவு செய்யும் வயது (வெள்ளை பொன்னி) பதில் : மத்திய கால இரகமெனில் 25 - 30 நாட்களில் நடவு செய்யலாம்   ",2024-10-09T09:06:24.323,2024,10
TAMILNADU,CHENGALPATTU,"0   ",NA,AGRICULTURE,Pulses,"Black Gram (urd bean)","Market Information","Asked about Blackgram market information","Query:Blackgram market information Answer: Tindivanam market price Rs.8805/Quintal (04.10.2024)",2024-10-10T10:12:37.483,2024,10
TAMILNADU,CHENGALPATTU,"0   ",NA,AGRICULTURE,Others,Others,"Training and Exposure Visits","BLANK CALL	","--விவசாயம் தொடர்பான தகவல்களுக்கு காலை 6:00 மணி முதல் இரவு 10 மணி வரை கிசான் அழைப்பு மையத்தை தொடர்பு கொள்ளவும் . (இலவச தொடர்பு எண் : 1800 180 1551)",2024-10-10T13:46:02.677,2024,10
TAMILNADU,CHENGALPATTU,"0   ",NA,AGRICULTURE,Cereals,"Paddy (Dhan)","Crop Insurance","Asked about cut off date and premium amount of paddy crop insurance					","கேள்வி : நெல் பயிர் காப்பீடு செய்வதற்கு கட்டணம் மற்றும் கடைசி நாள் பற்றிய தகவல் பதில் : 1 ஏக்கருக்கு ரூபாய் 511.29 செலுத்த வேண்டும். கடைசி நாள் 15-11-2024 .",2024-10-10T15:24:08.607,2024,10
TAMILNADU,CHENGALPATTU,"0   ",NA,AGRICULTURE,Oilseeds,"Groundnut (pea nut/mung phalli)","Crop Insurance","Asked about cut off date and premium amount of groundnut crop insurance	","கேள்வி : நிலக்கடலை பயிர் காப்பீடு செய்வதற்கு கட்டணம் மற்றும் கடைசி நாள் பற்றிய தகவல் பதில் : 1 ஏக்கருக்கு ரூபாய் 456.46 செலுத்த வேண்டும். கடைசி நாள் 31-01-2025.",2024-10-10T15:28:51.2,2024,10
TAMILNADU,CHENGALPATTU,"0   ",NA,AGRICULTURE,Others,Others,"Crop Insurance","Asked about contact information for AIC, Chennai","கேள்வி : வேளாண் காப்பீடு நிறுவனம் - தொடர்பு எண் பதில் : வேளாண் காப்பீடு நிறுவனம், சென்னை, தொலைபேசி : 044-43403400, Krishi Rakshak Portal helpline - 14447, ",2024-10-10T15:36:34.3,2024,10
TAMILNADU,CHENGALPATTU,"0   ",NA,HORTICULTURE,Vegetables,Brinjal,"	Plant Protection	","Asked about fruit borer management in brinjal","கேள்வி : கத்திரி பயிரில் புழு கட்டுப்பாடு பதில் : 10 லிட்டர் தண்ணீரில் 4 மில்லி குளோரான்ட்ரானிலிப்ரோல் 9.3% + லாம்ப்டாசிஹலோத்ரின் 4.6% ZC (Chlorantraniliprole 9.3% + Lambdacyhalothrin 4.6% ZC) என்ற அளவில் கலந்து தெளிக்கவும்.",2024-10-10T18:06:33.243,2024,10
TAMILNADU,CHENGALPATTU,"0   ",NA,HORTICULTURE,Vegetables,Tomato,"Seeds and Planting Material","Asked about Suitable vegetable crops (November month)","கேள்வி : நவம்பர் மாதத்தில் பயிரிட ஏற்ற காய்கறி பயிர்கள் பதில் : கீரை  வகைகள், கொத்தவரை ,தக்காளி ,அவரை (செடி வகை ), முலாம்பழம், தர்பூசணி ,பீன்ஸ் , சின்ன  வெங்காயம் போன்றவற்றை பயிரிடலாம்",2024-10-11T07:48:50.147,2024,10
